node,ground_truth,inference,iscorrect
node3,walking,sitting,0
node4,walking,walking,1
node5,standing,standing,1
node1,walking,walking,1
node2,standing,walking,0
node3,walking,walking,1
node4,walking,walking,1
node5,sitting,standing,0
node1,sitting,standing,0
node2,standing,walking,0
node3,standing,standing,1
node4,standing,standing,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,walking,0
node3,standing,standing,1
node4,standing,standing,1
node5,standing,walking,0
node1,walking,walking,1
node2,standing,standing,1
node3,sitting,walking,0
node4,sitting,sitting,1
node5,sitting,standing,0
node1,standing,sitting,0
node2,standing,standing,1
node3,sitting,sitting,1
node4,walking,walking,1
node5,standing,standing,1
node1,standing,sitting,0
node2,sitting,standing,0
node3,standing,walking,0
node4,sitting,sitting,1
node5,walking,walking,1
node1,sitting,walking,0
node2,walking,walking,1
node3,walking,walking,1
node4,walking,standing,0
node5,sitting,standing,0
node1,walking,walking,1
node2,walking,walking,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,standing,sitting,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,walking,walking,1
node4,standing,standing,1
node5,walking,walking,1
node1,walking,sitting,0
node2,walking,standing,0
node3,walking,sitting,0
node4,walking,walking,1
node5,walking,walking,1
node1,sitting,sitting,1
node2,walking,walking,1
node3,sitting,sitting,1
node4,sitting,walking,0
node5,sitting,sitting,1
node1,sitting,sitting,1
node2,walking,walking,1
node3,standing,standing,1
node4,standing,standing,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,walking,sitting,0
node3,walking,sitting,0
node4,standing,sitting,0
node5,sitting,walking,0
node1,walking,walking,1
node2,walking,walking,1
node3,standing,sitting,0
node4,standing,sitting,0
node5,standing,standing,1
node1,standing,sitting,0
node2,walking,standing,0
node3,walking,walking,1
node4,walking,sitting,0
node5,sitting,sitting,1
node1,standing,sitting,0
node2,standing,standing,1
node3,sitting,sitting,1
node4,sitting,sitting,1
node5,sitting,standing,0
node1,sitting,sitting,1
node2,standing,walking,0
node3,sitting,standing,0
node4,sitting,walking,0
node5,sitting,sitting,1
node1,walking,walking,1
node2,walking,sitting,0
node3,walking,walking,1
node4,sitting,walking,0
node5,sitting,sitting,1
node1,walking,walking,1
node2,standing,standing,1
node3,standing,standing,1
node4,sitting,standing,0
node5,standing,standing,1
node1,standing,walking,0
node2,sitting,walking,0
node3,sitting,sitting,1
node4,walking,walking,1
node5,sitting,standing,0
node1,sitting,standing,0
node2,sitting,standing,0
node3,standing,sitting,0
node4,sitting,sitting,1
node5,sitting,sitting,1
node1,walking,walking,1
node2,sitting,sitting,1
node3,sitting,standing,0
node4,standing,sitting,0
node5,sitting,standing,0
node1,walking,walking,1
node2,sitting,sitting,1
node3,standing,walking,0
node4,standing,standing,1
node5,standing,standing,1
node1,sitting,walking,0
node2,walking,standing,0
node3,walking,standing,0
node4,walking,walking,1
node5,standing,sitting,0
node1,standing,standing,1
node2,sitting,standing,0
node3,standing,walking,0
node4,standing,walking,0
node5,walking,walking,1
node1,walking,walking,1
node2,standing,walking,0
node3,walking,sitting,0
node4,standing,standing,1
node5,sitting,sitting,1
node1,walking,standing,0
node2,sitting,walking,0
node3,sitting,sitting,1
node4,standing,standing,1
node5,walking,sitting,0
node1,standing,sitting,0
node2,standing,walking,0
node3,standing,sitting,0
node4,standing,walking,0
node5,walking,sitting,0
node1,walking,walking,1
node2,standing,sitting,0
node3,walking,walking,1
node4,walking,walking,1
node5,standing,walking,0
node1,sitting,walking,0
node2,sitting,standing,0
node3,walking,standing,0
node4,walking,walking,1
node5,walking,sitting,0
node1,walking,standing,0
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,walking,walking,1
node5,sitting,standing,0
node1,walking,walking,1
node2,walking,walking,1
node3,standing,sitting,0
node4,standing,standing,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,walking,walking,1
node3,sitting,sitting,1
node4,standing,sitting,0
node5,sitting,sitting,1
node1,standing,sitting,0
node2,walking,sitting,0
node3,sitting,walking,0
node4,sitting,walking,0
node5,standing,walking,0
node1,walking,sitting,0
node2,standing,sitting,0
node3,standing,sitting,0
node4,walking,walking,1
node5,sitting,walking,0
node1,sitting,sitting,1
node2,standing,standing,1
node3,walking,walking,1
node4,sitting,sitting,1
node5,standing,standing,1
node1,walking,sitting,0
node2,walking,walking,1
node3,walking,walking,1
node4,walking,walking,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,sitting,sitting,1
node3,standing,standing,1
node4,sitting,walking,0
node5,sitting,sitting,1
node1,sitting,sitting,1
node2,standing,walking,0
node3,walking,standing,0
node4,walking,walking,1
node5,walking,walking,1
node1,sitting,sitting,1
node2,walking,sitting,0
node3,walking,walking,1
node4,walking,standing,0
node5,standing,walking,0
node1,standing,walking,0
node2,standing,sitting,0
node3,sitting,walking,0
node4,walking,standing,0
node5,sitting,sitting,1
node1,walking,standing,0
node2,walking,sitting,0
node3,sitting,sitting,1
node4,walking,walking,1
node5,standing,walking,0
node1,standing,standing,1
node2,standing,walking,0
node3,standing,walking,0
node4,standing,standing,1
node5,standing,standing,1
node1,standing,standing,1
node2,standing,standing,1
node3,standing,standing,1
node4,sitting,sitting,1
node5,sitting,sitting,1
node1,walking,walking,1
node2,walking,walking,1
node3,walking,walking,1
node4,standing,walking,0
node5,sitting,sitting,1
node1,sitting,standing,0
node2,standing,sitting,0
node3,walking,walking,1
node4,standing,sitting,0
node5,sitting,sitting,1
node1,standing,sitting,0
node2,standing,standing,1
node3,walking,standing,0
node4,standing,standing,1
node5,sitting,sitting,1
node1,standing,sitting,0
node2,walking,walking,1
node3,standing,sitting,0
node4,walking,walking,1
node5,walking,walking,1
node1,standing,standing,1
node2,walking,walking,1
node3,walking,sitting,0
node4,walking,walking,1
node5,walking,walking,1
node1,standing,standing,1
node2,sitting,standing,0
node3,sitting,walking,0
node4,walking,sitting,0
node5,sitting,walking,0
node1,walking,walking,1
node2,sitting,sitting,1
node3,sitting,walking,0
node4,walking,standing,0
node5,walking,walking,1
node1,walking,walking,1
node2,walking,walking,1
node3,sitting,sitting,1
node4,walking,sitting,0
node5,walking,walking,1
node1,walking,sitting,0
node2,walking,walking,1
node3,sitting,walking,0
node4,standing,sitting,0
node5,sitting,walking,0
node1,sitting,walking,0
node2,sitting,sitting,1
node3,standing,standing,1
node4,walking,walking,1
node5,standing,standing,1
node1,standing,standing,1
node2,walking,standing,0
node3,sitting,standing,0
node4,walking,walking,1
node5,walking,walking,1
node1,standing,sitting,0
node2,sitting,walking,0
node3,standing,standing,1
node4,standing,standing,1
node5,sitting,sitting,1
node1,walking,standing,0
node2,walking,walking,1
node3,standing,sitting,0
node4,walking,walking,1
node5,sitting,walking,0
node1,standing,walking,0
node2,standing,standing,1
node3,standing,sitting,0
node4,sitting,sitting,1
node5,walking,walking,1
node1,walking,standing,0
node2,standing,standing,1
node3,standing,standing,1
node4,standing,walking,0
node5,sitting,walking,0
node1,walking,walking,1
node2,walking,walking,1
node3,walking,sitting,0
node4,standing,standing,1
node5,standing,walking,0
node1,standing,sitting,0
node2,sitting,walking,0
node3,walking,sitting,0
node4,standing,standing,1
node5,walking,walking,1
node1,standing,standing,1
node2,standing,walking,0
node3,sitting,sitting,1
node4,walking,standing,0
node5,sitting,sitting,1
node1,walking,standing,0
node2,standing,walking,0
node3,standing,standing,1
node4,standing,standing,1
node5,walking,walking,1
node1,standing,sitting,0
node2,standing,standing,1
node3,sitting,walking,0
node4,standing,walking,0
node5,standing,standing,1
node1,sitting,sitting,1
node2,sitting,standing,0
node3,sitting,sitting,1
node4,walking,standing,0
node5,sitting,walking,0
node1,sitting,walking,0
node2,standing,standing,1
node3,sitting,sitting,1
node4,sitting,walking,0
node5,walking,sitting,0
node1,walking,walking,1
node2,sitting,sitting,1
node3,walking,walking,1
node4,sitting,sitting,1
node5,walking,walking,1
node1,walking,standing,0
node2,sitting,standing,0
node3,walking,walking,1
node4,sitting,sitting,1
node5,sitting,sitting,1
node1,walking,walking,1
node2,sitting,walking,0
node3,sitting,sitting,1
node4,standing,standing,1
node5,sitting,sitting,1
node1,sitting,walking,0
node2,walking,walking,1
node3,walking,standing,0
node4,sitting,walking,0
node5,sitting,sitting,1
node1,walking,standing,0
node2,standing,standing,1
node3,standing,standing,1
node4,standing,sitting,0
node5,walking,sitting,0
node1,standing,standing,1
node2,sitting,standing,0
node3,standing,standing,1
node4,sitting,standing,0
node5,sitting,sitting,1
node1,walking,standing,0
node2,sitting,standing,0
node3,sitting,standing,0
node4,sitting,sitting,1
node5,walking,standing,0
node1,walking,sitting,0
node2,sitting,sitting,1
node3,walking,sitting,0
node4,sitting,sitting,1
node5,walking,walking,1
node1,walking,standing,0
node2,walking,standing,0
node3,sitting,sitting,1
node4,standing,walking,0
node5,sitting,sitting,1
node1,walking,walking,1
node2,sitting,sitting,1
node3,walking,walking,1
node4,standing,sitting,0
node5,standing,standing,1
node1,walking,walking,1
node2,sitting,standing,0
node3,sitting,standing,0
node4,walking,walking,1
node5,walking,standing,0
node1,walking,standing,0
node2,walking,walking,1
node3,sitting,standing,0
node4,standing,sitting,0
node5,standing,walking,0
node1,standing,standing,1
node2,walking,sitting,0
node3,walking,walking,1
node4,sitting,walking,0
node5,walking,sitting,0
node1,standing,standing,1
node2,sitting,sitting,1
node3,walking,sitting,0
node4,walking,sitting,0
node5,standing,sitting,0
node1,sitting,walking,0
node2,walking,standing,0
node3,standing,standing,1
node4,walking,sitting,0
node5,standing,sitting,0
node1,sitting,walking,0
node2,sitting,sitting,1
node3,walking,walking,1
node4,walking,sitting,0
node5,sitting,walking,0
node1,walking,standing,0
node2,sitting,sitting,1
node3,sitting,walking,0
node4,sitting,walking,0
node5,sitting,sitting,1
node1,sitting,standing,0
node2,sitting,sitting,1
node3,sitting,sitting,1
node4,walking,walking,1
node5,walking,standing,0
node1,sitting,sitting,1
node2,standing,standing,1
node3,sitting,standing,0
node4,walking,walking,1
node5,sitting,sitting,1
node1,standing,sitting,0
node2,sitting,standing,0
node3,standing,sitting,0
node4,walking,standing,0
node5,walking,walking,1
node1,sitting,standing,0
node2,walking,walking,1
node3,sitting,standing,0
node4,standing,standing,1
node5,walking,walking,1
node1,standing,standing,1
node2,sitting,sitting,1
node3,sitting,standing,0
node4,standing,standing,1
node5,standing,standing,1
node1,walking,walking,1
node2,standing,standing,1
node3,walking,standing,0
node4,standing,standing,1
node5,sitting,standing,0
node1,sitting,walking,0
node2,standing,standing,1
node3,walking,sitting,0
node4,standing,sitting,0
node5,standing,walking,0
node1,standing,standing,1
node2,walking,walking,1
node3,sitting,standing,0
node4,walking,standing,0
node5,sitting,walking,0
node1,walking,sitting,0
node2,sitting,sitting,1
node3,walking,walking,1
node4,standing,walking,0
node5,standing,standing,1
node1,walking,walking,1
node2,standing,sitting,0
node3,standing,walking,0
node4,sitting,sitting,1
node5,walking,sitting,0
node1,walking,sitting,0
node2,walking,standing,0
node3,sitting,sitting,1
node4,standing,standing,1
node5,sitting,sitting,1
node1,standing,sitting,0
